frame,smoke,vibration,gyroscope,brake,result
1,10,20,180.0,1,1
0,0,10,90.3,0,0
1,20,30,270.6,1,1
0,15,20,315.0,1,1
1,8,8,30.5,1,1
0,5,5,135.0,0,0
1,25,35,225.9,1,1
0,10,15,60.2,1,1
1,18,30,195.6,1,1
1,5,0,300.9,1,1
0,0.091173,-0.316228,-0.816497,1,0
1,-1.015067,0.316228,-0.204124,1,0
0,0.639602,1.264911,1.224745,1,1
1,0.091173,-1.264911,-0.408248,1,0
0,1.266819,-0.316228,0.204124,1,0
1,1.142304,0.316228,-1.632993,1,1
0,1.520850,1.264911,-0.816497,1,1
1,0.639602,-1.264911,0.612372,1,1
0,-1.128125,0.316228,1.020620,1,0
1,-0.242107,-0.632456,-0.408248,1,0
0,0.874136,-1.264911,1.020620,1,1
1,0.482581,0.316228,0.816497,1,1
0,0.557094,-0.316228,0.000000,1,0
1,0.091173,-1.264911,1.428571,1,1
1,-0.831833,1.264911,1.020620,1,1
